Name,Born,Died
Stephen Hawking,1942-01-08,2018-03-14
Albert Einstein,1879-03-14,1955-04-18
Marie Curie,1867-11-07,1934-07-04
George Washington Carver,1864-01-01,1943-01-05
J. Robert Oppenheimer,1904-04-22,1967-02-18
Grace Hopper ,1906-12-09,1992-01-01
Louis Pasteur,1822-12-27,1895-09-28
Charles Babbage,1791-12-26,1871-10-18
